abs_td_error,agree,bfs_action,bfs_distance,difficulty,goal,greedy_action,maze_id,next,next_bfs_distance,path_index,pos,q_best_other,q_bfs,q_down,q_left,q_margin,q_right,q_up,shortest_len,source,start,td_error
0.15886955261231606,False,UP,8,easy,"(0, 4)",LEFT,manual_easy_0,"(5, 6)",7,0,"(6, 6)",68.56291961669922,68.20051574707031,66.06316375732422,68.56291961669922,-0.36240386962890625,67.38890075683594,68.20051574707031,8,manual,"(6, 6)",-0.15886955261231606
0.6510616302490178,False,UP,7,easy,"(0, 4)",LEFT,manual_easy_0,"(4, 6)",6,1,"(5, 6)",68.7390365600586,68.56713104248047,68.20035552978516,68.7390365600586,-0.171905517578125,67.51942443847656,68.56713104248047,8,manual,"(6, 6)",0.6510616302490178
0.6955484771728493,False,UP,6,easy,"(0, 4)",LEFT,manual_easy_0,"(3, 6)",5,2,"(4, 6)",69.9274673461914,69.20243835449219,67.69783020019531,69.9274673461914,-0.7250289916992188,68.1570816040039,69.20243835449219,8,manual,"(6, 6)",0.6955484771728493
2.0228284454345697,False,UP,5,easy,"(0, 4)",LEFT,manual_easy_0,"(2, 6)",4,3,"(3, 6)",70.61412811279297,69.12350463867188,69.04808044433594,70.61412811279297,-1.4906234741210938,68.30535888671875,69.12350463867188,8,manual,"(6, 6)",2.0228284454345697
1.0759860992431527,False,UP,4,easy,"(0, 4)",LEFT,manual_easy_0,"(1, 6)",3,4,"(2, 6)",71.87508392333984,68.12581634521484,70.21794128417969,71.87508392333984,-3.749267578125,70.01148986816406,68.12581634521484,8,manual,"(6, 6)",1.0759860992431527
3.363707427978511,False,UP,3,easy,"(0, 4)",LEFT,manual_easy_0,"(0, 6)",2,5,"(1, 6)",69.9109115600586,66.78887176513672,69.321533203125,69.9109115600586,-3.122039794921875,68.811279296875,66.78887176513672,8,manual,"(6, 6)",3.363707427978511
5.190893707275379,False,LEFT,2,easy,"(0, 4)",DOWN,manual_easy_0,"(0, 5)",1,6,"(0, 6)",70.87129211425781,60.562034606933594,70.87129211425781,60.562034606933594,-10.309257507324219,66.19634246826172,58.24549102783203,8,manual,"(6, 6)",5.190893707275379
1.431433906555176,False,LEFT,1,easy,"(0, 4)",DOWN,manual_easy_0,"(0, 4)",0,7,"(0, 5)",66.42720031738281,8.558566093444824,66.42720031738281,8.558566093444824,-57.86863422393799,54.386497497558594,16.40449333190918,8,manual,"(6, 6)",1.431433906555176
1.6696681213378923,True,DOWN,6,easy,"(2, 4)",DOWN,manual_easy_1,"(1, 0)",5,0,"(0, 0)",81.79586029052734,83.82835388183594,83.82835388183594,69.08955383300781,2.0324935913085938,81.79586029052734,71.96964263916016,6,manual,"(0, 0)",-1.6696681213378923
0.6042784118652236,False,DOWN,5,easy,"(2, 4)",RIGHT,manual_easy_1,"(2, 0)",4,1,"(1, 0)",82.99867248535156,82.87187957763672,82.87187957763672,68.3077621459961,-0.12679290771484375,82.99867248535156,80.94550323486328,6,manual,"(0, 0)",0.6042784118652236
1.1162444305419825,True,RIGHT,4,easy,"(2, 4)",RIGHT,manual_easy_1,"(2, 1)",3,2,"(2, 0)",82.69631958007812,84.32945251464844,82.69631958007812,69.28560638427734,1.6331329345703125,84.32945251464844,82.0473403930664,6,manual,"(0, 0)",1.1162444305419825
1.1741648101806703,True,RIGHT,3,easy,"(2, 4)",RIGHT,manual_easy_1,"(2, 2)",2,3,"(2, 1)",84.48997497558594,86.31888580322266,84.48997497558594,82.60814666748047,1.8289108276367188,86.31888580322266,83.3220443725586,6,manual,"(0, 0)",-1.1741648101806703
1.0344303894043065,False,RIGHT,2,easy,"(2, 4)",UP,manual_easy_1,"(2, 3)",1,4,"(2, 2)",86.0148696899414,85.8738021850586,84.28089904785156,82.9610366821289,-0.1410675048828125,85.8738021850586,86.0148696899414,6,manual,"(0, 0)",-1.0344303894043065
0.30096267700195334,False,RIGHT,1,easy,"(2, 4)",DOWN,manual_easy_1,"(2, 4)",0,5,"(2, 3)",85.70643615722656,9.689037322998047,85.70643615722656,72.7452163696289,-76.01739883422852,9.689037322998047,85.11597442626953,6,manual,"(0, 0)",0.30096267700195334
1.0884049224853527,True,RIGHT,7,easy,"(2, 7)",RIGHT,manual_easy_2,"(6, 5)",6,0,"(6, 4)",75.81381225585938,76.27079772949219,75.81381225585938,73.4482650756836,0.4569854736328125,76.27079772949219,67.39741516113281,7,manual,"(6, 4)",-1.0884049224853527
1.5563222503662075,True,UP,6,easy,"(2, 7)",UP,manual_easy_2,"(5, 5)",5,1,"(6, 5)",75.05252838134766,75.95191192626953,74.86616516113281,74.63811492919922,0.899383544921875,75.05252838134766,75.95191192626953,7,manual,"(6, 4)",1.5563222503662075
0.11876228332519645,True,UP,5,easy,"(2, 7)",UP,manual_easy_2,"(4, 5)",4,2,"(5, 5)",77.1302719116211,78.3012466430664,76.73243713378906,66.38839721679688,1.1709747314453125,77.1302719116211,78.3012466430664,7,manual,"(6, 4)",-0.11876228332519645
2.7219989013671864,True,UP,4,easy,"(2, 7)",UP,manual_easy_2,"(3, 5)",3,3,"(4, 5)",78.40879821777344,78.98230743408203,76.90087127685547,77.63643646240234,0.5735092163085938,78.40879821777344,78.98230743408203,7,manual,"(6, 4)",2.7219989013671864
0.047249603271495744,False,UP,3,easy,"(2, 7)",RIGHT,manual_easy_2,"(2, 5)",2,4,"(3, 5)",82.53970336914062,79.94707489013672,81.231201171875,81.26081848144531,-2.5926284790039062,82.53970336914062,79.94707489013672,7,manual,"(6, 4)",-0.047249603271495744
2.9324215698242284,False,RIGHT,2,easy,"(2, 7)",DOWN,manual_easy_2,"(2, 6)",1,5,"(2, 5)",80.71699523925781,79.72207641601562,80.71699523925781,75.89215087890625,-0.9949188232421875,79.72207641601562,78.96746063232422,7,manual,"(6, 4)",-2.9324215698242284
2.29631160736084,False,RIGHT,1,easy,"(2, 7)",DOWN,manual_easy_2,"(2, 7)",0,6,"(2, 6)",77.57540893554688,7.69368839263916,77.57540893554688,75.07978057861328,-69.88172054290771,7.69368839263916,72.5679702758789,7,manual,"(6, 4)",2.29631160736084
0.25855888366699276,False,DOWN,10,easy,"(7, 2)",LEFT,manual_easy_3,"(1, 5)",9,0,"(0, 5)",58.300167083740234,57.909767150878906,57.909767150878906,58.300167083740234,-0.3903999328613281,56.81197738647461,46.963600158691406,10,manual,"(0, 5)",-0.25855888366699276
0.9155958557128869,True,DOWN,9,easy,"(7, 2)",DOWN,manual_easy_3,"(2, 5)",8,1,"(1, 5)",58.15127182006836,58.24364471435547,58.24364471435547,57.296607971191406,0.09237289428710938,58.15127182006836,56.51322937011719,10,manual,"(0, 5)",-0.9155958557128869
0.22655773162841797,False,DOWN,8,easy,"(7, 2)",LEFT,manual_easy_3,"(3, 5)",7,2,"(2, 5)",57.91722106933594,57.481143951416016,57.481143951416016,57.91722106933594,-0.4360771179199219,57.825401306152344,57.81929397583008,10,manual,"(0, 5)",0.22655773162841797
0.014324264526365482,False,DOWN,7,easy,"(7, 2)",LEFT,manual_easy_3,"(4, 5)",6,3,"(3, 5)",58.30070877075195,57.54708480834961,57.54708480834961,58.30070877075195,-0.7536239624023438,57.32758331298828,58.068416595458984,10,manual,"(0, 5)",-0.014324264526365482
0.046771545410159376,False,DOWN,6,easy,"(7, 2)",UP,manual_easy_3,"(5, 5)",5,4,"(4, 5)",58.124000549316406,57.20429611206055,57.20429611206055,56.94232177734375,-0.9197044372558594,56.47075271606445,58.124000549316406,10,manual,"(0, 5)",0.046771545410159376
0.5334553527832071,False,DOWN,5,easy,"(7, 2)",UP,manual_easy_3,"(6, 5)",4,5,"(5, 5)",57.83946228027344,56.32211685180664,56.32211685180664,57.4752197265625,-1.5173454284667969,55.360660552978516,57.83946228027344,10,manual,"(0, 5)",0.5334553527832071
