generation,candidate_id,g,w,u,goal_reward,wall_penalty,step_penalty,repeat_penalty,score,is_elite,success_rate,wall_hit_rate,steps,repeat_count,repeat_rate,progress_rate,bfs_action_agreement
0,5,38.21803809612455,39.92434839530726,4.500155632518944,38.21803809612455,-39.92434839530726,-1.0,-4.500155632518944,0.41989416399604335,True,0.65,0.0,31.483333333333334,19.25,0.30595843397745576,0.8020704527309387,0.8020704527309387
0,1,112.53023186070743,9.925575299787042,3.6624555493102817,112.53023186070743,-9.925575299787042,-1.0,-3.6624555493102817,-0.44041785455110927,True,0.1,0.016666666666666666,59.15,47.35,0.7260152116402117,0.5511359126984128,0.5511359126984128
0,2,69.10225231571785,26.4694264318757,7.9197595631490385,69.10225231571785,-26.4694264318757,-1.0,-7.9197595631490385,-0.5848028273809524,False,0.016666666666666666,0.0484375,63.2,55.85,0.82421875,0.5002604166666667,0.5002604166666667
0,3,38.36159108305526,54.23761588358417,12.757466434822012,38.36159108305526,-54.23761588358417,-1.0,-12.757466434822012,-0.6054092261904761,False,0.016666666666666666,0.09505208333333333,63.13333333333333,56.78333333333333,0.7921875,0.48003472222222227,0.48003472222222227
0,4,66.58647653490355,62.933626725268525,10.590391703997964,66.58647653490355,-62.933626725268525,-1.0,-10.590391703997964,-0.6960677083333332,False,0.016666666666666666,0.30963541666666666,63.06666666666667,60.016666666666666,0.628125,0.36380208333333336,0.36380208333333336
0,0,76.83907741163071,17.14566615003558,12.5498944999467,76.83907741163071,-17.14566615003558,-1.0,-12.5498944999467,-0.6969159226190477,False,0.03333333333333333,0.371875,62.233333333333334,58.016666666666666,0.5346354166666667,0.3451264880952381,0.3451264880952381
1,1,44.5232708750155,51.88765035030128,4.785845937589506,44.5232708750155,-51.88765035030128,-1.0,-4.785845937589506,-0.11258694859725542,True,0.31666666666666665,0.0,48.233333333333334,39.46666666666667,0.6238947979188015,0.6377166195485943,0.6377166195485943
1,0,106.28234424840686,22.201233579664134,4.749389632470339,106.28234424840686,-22.201233579664134,-1.0,-4.749389632470339,-0.34613698092176864,True,0.16666666666666666,0.0,56.3,46.05,0.7251295695045695,0.5731048234173234,0.5731048234173234
1,3,79.82662408675984,30.22933545935855,5.546822150411973,79.82662408675984,-30.22933545935855,-1.0,-5.546822150411973,-0.3580167429023734,False,0.15,0.0,56.43333333333333,47.266666666666666,0.741165051247772,0.5825926116367293,0.5825926116367293
1,5,41.34243611142636,34.61925267277648,6.61423257325163,41.34243611142636,-34.61925267277648,-1.0,-6.61423257325163,-0.36618592303340736,False,0.15,0.0,56.88333333333333,46.35,0.7287175324675325,0.5699485930735931,0.5699485930735931
1,4,128.0,17.501985743086692,4.373160724500588,128.0,-17.501985743086692,-1.0,-4.373160724500588,-0.5116003341194969,False,0.05,0.0,61.36666666666667,54.233333333333334,0.8481158088235294,0.5410692401960785,0.5410692401960785
1,2,51.262330201971,18.14742177854553,5.690565184935365,51.262330201971,-18.14742177854553,-1.0,-5.690565184935365,-0.5871837797619046,False,0.05,0.17890625,61.266666666666666,56.21666666666667,0.6994791666666667,0.45171875,0.45171875
2,3,75.01798173499122,46.55362776970211,4.950106198950644,75.01798173499122,-46.55362776970211,-1.0,-4.950106198950644,0.3406006277978518,True,0.6166666666666667,0.0,33.9,21.483333333333334,0.348966160575211,0.7500363506657659,0.7500363506657659
2,2,49.42496379043687,33.87625937382456,4.891905261039318,49.42496379043687,-33.87625937382456,-1.0,-4.891905261039318,0.26763699816730796,True,0.5666666666666667,0.0,36.266666666666666,23.316666666666666,0.370869662864275,0.7284923205151014,0.7284923205151014
2,1,91.97830391811156,43.678987693528605,5.128232605435289,91.97830391811156,-43.678987693528605,-1.0,-5.128232605435289,0.08305345936310024,False,0.4666666666666667,0.0,42.85,28.716666666666665,0.46018508799956304,0.6564069981347064,0.6564069981347064
2,0,64.11957694927901,19.8753388863559,4.408183516056809,64.11957694927901,-19.8753388863559,-1.0,-4.408183516056809,-0.35952103355749193,False,0.16666666666666666,0.01640625,56.63333333333333,45.03333333333333,0.6911173262832512,0.556638991884735,0.556638991884735
2,5,91.14416503368261,14.623978805716897,4.661366638520548,91.14416503368261,-14.623978805716897,-1.0,-4.661366638520548,-0.4828250466853408,False,0.08333333333333333,0.04739583333333333,59.78333333333333,53.333333333333336,0.7873229847494554,0.5251804193899782,0.5251804193899782
2,4,93.21586247819728,31.214169307055847,4.986118661863312,93.21586247819728,-31.214169307055847,-1.0,-4.986118661863312,-0.5124797453703704,False,0.05,0.0,61.46666666666667,53.65,0.8394270833333334,0.5348090277777778,0.5348090277777778
3,3,74.39075642285769,44.01701441773762,5.165210039530158,74.39075642285769,-44.01701441773762,-1.0,-5.165210039530158,0.356602981661944,True,0.6,0.0,32.416666666666664,22.883333333333333,0.3607083333333333,0.7960707282913165,0.7960707282913165
3,1,96.61161910816556,29.190452723291127,5.227190922843073,96.61161910816556,-29.190452723291127,-1.0,-5.227190922843073,0.09224152357346377,True,0.45,0.0,41.81666666666667,28.766666666666666,0.4590211677619766,0.688334882459302,0.688334882459302
3,2,38.73298271867126,33.51936042450534,4.947817726108983,38.73298271867126,-33.51936042450534,-1.0,-4.947817726108983,0.05135796387544674,False,0.4166666666666667,0.0,43.06666666666667,30.666666666666668,0.4851491941473559,0.685185589533016,0.685185589533016
