generation,candidate_id,g,w,goal_reward,wall_penalty,step_penalty,score,is_elite,success_rate,wall_hit_rate,steps,repeat_count,progress_rate,bfs_action_agreement
0,0,35.60146827594395,11.118320964886372,71.2029365518879,-22.236641929772745,-2.0,0.1481006647673314,True,0.43333333333333335,0.0,40.93333333333333,33.8,0.724094742063492,0.724094742063492
0,1,41.61221780291033,22.237640541105044,83.22443560582066,-44.47528108221009,-2.0,0.122376027086172,True,0.4166666666666667,0.0,41.8,34.85,0.7149280753968253,0.7149280753968253
0,5,43.53325783908911,21.006163604593667,87.06651567817822,-42.01232720918733,-2.0,0.04878747795414462,False,0.36666666666666664,0.0,44.56666666666667,37.36666666666667,0.6961631944444444,0.6961631944444444
0,2,16.16540696859154,10.143426851212027,32.33081393718308,-20.286853702424054,-2.0,0.022459639126305796,False,0.35,0.0,45.583333333333336,39.35,0.6794518849206349,0.6794518849206349
0,3,33.46432827569919,14.323532512137373,66.92865655139838,-28.647065024274745,-2.0,-0.05191098209966135,False,0.3,0.0,48.11666666666667,41.75,0.6603994963369964,0.6603994963369964
0,4,31.8123792196983,11.870108480039345,63.6247584393966,-23.74021696007869,-2.0,-0.3774833499833499,False,0.08333333333333333,0.0,59.65,54.583333333333336,0.5559327651515152,0.5559327651515152
1,2,38.62298391464147,11.325827449201913,77.24596782928295,-22.651654898403827,-2.0,0.24939393939393942,True,0.5,0.0,37.03333333333333,29.666666666666668,0.7599431818181818,0.7599431818181818
1,5,44.26147164303535,14.979651842851462,88.5229432860707,-29.959303685702924,-2.0,0.22252822341057638,True,0.48333333333333334,0.0,38.13333333333333,30.2,0.7507992181429681,0.7507992181429681
1,0,36.80128180734318,23.388824288300405,73.60256361468636,-46.77764857660081,-2.0,0.17257453238585316,False,0.45,0.0,39.75,32.65,0.7345291860916862,0.7345291860916862
1,4,35.35675751270343,12.474755027946854,70.71351502540686,-24.949510055893708,-2.0,0.1719671994671995,False,0.45,0.0,39.75,32.833333333333336,0.7293082611832612,0.7293082611832612
1,3,41.89627071662311,15.534366141704052,83.79254143324621,-31.068732283408103,-2.0,0.125,False,0.4166666666666667,0.0,41.483333333333334,34.63333333333333,0.7244791666666667,0.7244791666666667
1,1,39.23658660450386,11.724785039101747,78.47317320900773,-23.449570078203493,-2.0,-0.0256060606060606,False,0.31666666666666665,0.0,46.86666666666667,40.583333333333336,0.6745265151515151,0.6745265151515151
2,3,48.84105221060201,12.715091432137132,97.68210442120402,-25.430182864274265,-2.0,0.27440476190476193,True,0.5166666666666667,0.0,36.083333333333336,29.1,0.7636979166666666,0.7636979166666666
2,5,42.21420116698265,17.342575346124292,84.4284023339653,-34.685150692248584,-2.0,0.2731684981684982,True,0.5166666666666667,0.0,36.25,28.783333333333335,0.7621428571428571,0.7621428571428571
2,0,38.20429182211937,12.855380747443421,76.40858364423875,-25.710761494886842,-2.0,0.14876500857632932,False,0.43333333333333335,0.0,40.55,34.0,0.7214215472027973,0.7214215472027973
2,2,41.40209711990637,15.059889106181943,82.80419423981274,-30.119778212363887,-2.0,0.09940476190476191,False,0.4,0.0,42.45,35.43333333333333,0.71265625,0.71265625
2,1,41.877972362720186,14.86217011971432,83.75594472544037,-29.72434023942864,-2.0,0.075,False,0.38333333333333336,0.0,43.18333333333333,36.81666666666667,0.7026041666666667,0.7026041666666667
2,4,37.899115003504775,11.71000023383705,75.79823000700955,-23.4200004676741,-2.0,-0.026864370197703526,False,0.31666666666666665,0.0,47.05,40.833333333333336,0.66725965007215,0.66725965007215
3,1,40.870684268097776,16.219220156026104,81.74136853619555,-32.43844031205221,-2.0,0.2456885171665046,True,0.5,0.0,37.36666666666667,29.783333333333335,0.7527484321234321,0.7527484321234321
3,0,43.2521867685274,12.60192580698781,86.5043735370548,-25.20385161397562,-2.0,0.2244047619047619,True,0.48333333333333334,0.0,37.96666666666667,31.116666666666667,0.7452083333333334,0.7452083333333334
3,2,46.31070073455125,15.926912038609506,92.6214014691025,-31.853824077219013,-2.0,0.19940476190476192,False,0.4666666666666667,0.0,38.93333333333333,31.516666666666666,0.7446875,0.7446875
3,5,46.78625710775451,15.08825758714538,93.57251421550902,-30.17651517429076,-2.0,0.17051884861688782,False,0.45,0.0,40.06666666666667,32.6,0.7290100099383188,0.7290100099383188
3,3,41.391859682734065,15.110151062813484,82.78371936546813,-30.22030212562697,-2.0,0.14808809563711525,False,0.43333333333333335,0.0,40.8,33.45,0.7278199404761906,0.7278199404761906
3,4,44.054652110979845,15.075730080322113,88.10930422195969,-30.151460160644227,-2.0,-0.2,False,0.2,0.0,53.15,47.166666666666664,0.61875,0.61875
