idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,quality_key
131,noisy_bfs,success,21,14,7,0,1,-10.832487252540886,-0.5158327263114708,"[3, -7, -1]"
132,noisy_bfs,success,21,14,7,0,1,-14.587108634412289,-0.6946242206862995,"[3, -7, -1]"
133,random,success,64,14,50,0,10,-47.76810537092388,-0.7463766464206856,"[3, -50, -10]"
134,safe_loop,timeout,64,14,64,14,0,-26.919514752924442,-0.4206174180144444,"[2, -14, 0]"
135,bfs,success,14,14,0,0,0,-8.809119880199432,-0.6292228485856738,"[3, 0, 0]"
136,noisy_bfs,success,17,14,3,0,1,-10.489177495241165,-0.6170104408965391,"[3, -3, -1]"
137,noisy_bfs,success,28,14,14,0,2,-19.947316706180573,-0.7124041680778775,"[3, -14, -2]"
138,random,wall,64,14,64,14,22,-52.873210817575455,-0.8261439190246165,"[1, -14, -22]"
139,safe_loop,timeout,64,14,64,14,0,-44.88773983716965,-0.7013709349557757,"[2, -14, 0]"
140,bfs,success,20,20,0,0,0,-17.266755402088165,-0.8633377701044083,"[3, 0, 0]"
141,noisy_bfs,success,24,20,4,0,0,-20.907939195632935,-0.8711641331513723,"[3, -4, 0]"
142,noisy_bfs,success,25,20,5,0,3,-21.84349250793457,-0.8737397003173828,"[3, -5, -3]"
143,random,wall,64,20,64,20,36,-60.019345700740814,-0.9378022765740752,"[1, -20, -36]"
144,safe_loop,timeout,64,20,64,20,0,-50.75288248062134,-0.7930137887597084,"[2, -20, 0]"
145,bfs,success,14,14,0,0,0,-4.067787703126669,-0.29055626450904776,"[3, 0, 0]"
146,noisy_bfs,success,14,14,0,0,0,-2.314724151045084,-0.16533743936036313,"[3, 0, 0]"
147,noisy_bfs,success,21,14,7,0,1,-8.87427856400609,-0.42258469352409955,"[3, -7, -1]"
148,random,wall,64,14,64,13,21,-48.35589350759983,-0.7555608360562474,"[1, -13, -21]"
149,safe_loop,timeout,64,14,64,14,0,-23.370545986108482,-0.36516478103294503,"[2, -14, 0]"
