state_id,action,reward,category,hit_wall,repeat,success,d0,d1,delta_d
22,3,-0.894732654094696,toward_goal,False,False,False,7,6,1
23,0,-0.9843699932098389,away_goal,False,False,False,1,2,-1
23,1,-0.9019957780838013,wall,True,False,False,1,1,0
23,2,-0.9991649389266968,repeat,False,True,False,1,2,-1
23,3,-0.8756670951843262,goal,False,False,True,1,0,1
24,0,-0.9941432476043701,wall,True,False,False,14,14,0
24,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
24,2,-0.9991008639335632,wall,True,False,False,14,14,0
24,3,-0.8329073786735535,wall,True,False,False,14,14,0
25,0,-0.9991520047187805,repeat,False,True,False,13,14,-1
25,1,-0.9133039116859436,repeat,False,True,False,13,12,1
25,2,-0.9999011754989624,wall,True,False,False,13,13,0
25,3,-0.9596619606018066,wall,True,False,False,13,13,0
26,0,-0.9979739785194397,repeat,False,True,False,12,13,-1
26,1,-0.7259746193885803,repeat,False,True,False,12,11,1
26,2,-0.9997278451919556,repeat,False,True,False,12,11,1
26,3,-0.863158106803894,repeat,False,True,False,12,13,-1
27,0,-0.9941432476043701,wall,True,False,False,14,14,0
27,1,-0.2971563935279846,toward_goal,False,False,False,14,13,1
27,2,-0.9991008639335632,wall,True,False,False,14,14,0
27,3,-0.8329073786735535,wall,True,False,False,14,14,0
28,0,-0.9910781383514404,wall,True,False,False,14,14,0
28,1,-0.16737620532512665,repeat,False,True,False,14,13,1
28,2,-0.9988071322441101,wall,True,False,False,14,14,0
28,3,-0.857601523399353,wall,True,False,False,14,14,0
29,0,-0.9969852566719055,repeat,False,True,False,13,14,-1
29,1,-0.8062906861305237,toward_goal,False,False,False,13,12,1
29,2,-0.9996567964553833,wall,True,False,False,13,13,0
29,3,-0.9643251299858093,wall,True,False,False,13,13,0
30,0,-0.9887237548828125,wall,True,False,False,14,14,0
30,1,0.04476030543446541,toward_goal,False,False,False,14,13,1
30,2,-0.9998157620429993,wall,True,False,False,14,14,0
30,3,-0.07940466701984406,toward_goal,False,False,False,14,13,1
31,0,-0.9941844940185547,repeat,False,True,False,7,8,-1
31,1,-0.8478168249130249,toward_goal,False,False,False,7,6,1
31,2,-0.9986085891723633,wall,True,False,False,7,7,0
31,3,-0.2455979436635971,toward_goal,False,False,False,7,6,1
32,0,-0.9960340261459351,repeat,False,True,False,1,2,-1
32,1,-0.8781027793884277,wall,True,False,False,1,1,0
32,2,-0.9995404481887817,wall,True,False,False,1,1,0
32,3,-0.4634133577346802,goal,False,False,True,1,0,1
33,0,-0.9887237548828125,wall,True,False,False,14,14,0
33,1,0.04476030543446541,toward_goal,False,False,False,14,13,1
33,2,-0.9998157620429993,wall,True,False,False,14,14,0
33,3,-0.07940466701984406,toward_goal,False,False,False,14,13,1
34,0,-0.9851276874542236,away_goal,False,False,False,7,8,-1
34,1,-0.3458559215068817,wall,True,False,False,7,7,0
34,2,-0.998781681060791,repeat,False,True,False,7,8,-1
34,3,0.10378018021583557,toward_goal,False,False,False,7,6,1
35,0,-0.9842582941055298,repeat,False,True,False,1,2,-1
35,1,-0.6776688694953918,wall,True,False,False,1,1,0
35,2,-0.9989845752716064,wall,True,False,False,1,1,0
35,3,-0.5568792819976807,goal,False,False,True,1,0,1
36,0,-0.9887237548828125,wall,True,False,False,14,14,0
36,1,0.04476030543446541,toward_goal,False,False,False,14,13,1
36,2,-0.9998157620429993,wall,True,False,False,14,14,0
36,3,-0.07940466701984406,toward_goal,False,False,False,14,13,1
37,0,-0.9853323101997375,away_goal,False,False,False,7,8,-1
37,1,-0.48350226879119873,repeat,False,True,False,7,6,1
37,2,-0.9984552264213562,repeat,False,True,False,7,8,-1
37,3,-0.5928994417190552,wall,True,False,False,7,7,0
38,0,-0.980913519859314,repeat,False,True,False,1,2,-1
38,1,-0.5162648558616638,wall,True,False,False,1,1,0
38,2,-0.9979001879692078,wall,True,False,False,1,1,0
38,3,-0.5970749258995056,goal,False,False,True,1,0,1
39,0,-0.9887237548828125,wall,True,False,False,14,14,0
39,1,0.04476030543446541,toward_goal,False,False,False,14,13,1
39,2,-0.9998157620429993,wall,True,False,False,14,14,0
39,3,-0.07940466701984406,toward_goal,False,False,False,14,13,1
40,0,-0.9961712956428528,repeat,False,True,False,6,7,-1
40,1,-0.4949873089790344,toward_goal,False,False,False,6,5,1
40,2,-0.9993157386779785,repeat,False,True,False,6,7,-1
40,3,-0.6661983728408813,toward_goal,False,False,False,6,5,1
41,0,-0.9973073601722717,repeat,False,True,False,6,7,-1
41,1,-0.6457704305648804,repeat,False,True,False,6,5,1
41,2,-0.9995487332344055,repeat,False,True,False,6,7,-1
41,3,-0.6902002692222595,repeat,False,True,False,6,5,1
42,0,-0.9887237548828125,wall,True,False,False,14,14,0
42,1,0.04476030543446541,toward_goal,False,False,False,14,13,1
42,2,-0.9998157620429993,wall,True,False,False,14,14,0
42,3,-0.07940466701984406,toward_goal,False,False,False,14,13,1
43,0,-0.9908739328384399,wall,True,False,False,14,14,0
43,1,-0.24971406161785126,toward_goal,False,False,False,14,13,1
43,2,-0.999587893486023,wall,True,False,False,14,14,0
43,3,0.033367741852998734,repeat,False,True,False,14,13,1
44,0,-0.9941979050636292,wall,True,False,False,13,13,0
44,1,-0.7636749148368835,toward_goal,False,False,False,13,12,1
44,2,-0.999738872051239,repeat,False,True,False,13,14,-1
44,3,-0.7367634773254395,toward_goal,False,False,False,13,12,1
45,0,-0.9884973168373108,wall,True,False,False,14,14,0
45,1,-0.15780583024024963,toward_goal,False,False,False,14,13,1
45,2,-0.9988812804222107,wall,True,False,False,14,14,0
45,3,-0.15515388548374176,toward_goal,False,False,False,14,13,1
46,0,-0.9980957508087158,repeat,False,True,False,7,8,-1
46,1,-0.7041011452674866,toward_goal,False,False,False,7,6,1
46,2,-0.9990250468254089,away_goal,False,False,False,7,8,-1
46,3,-0.6923837065696716,toward_goal,False,False,False,7,6,1
47,0,-0.9984883069992065,away_goal,False,False,False,1,2,-1
47,1,-0.8275899887084961,goal,False,False,True,1,0,1
47,2,-0.9991596937179565,repeat,False,True,False,1,2,-1
47,3,-0.902437150478363,wall,True,False,False,1,1,0
48,0,-0.9884973168373108,wall,True,False,False,14,14,0
48,1,-0.15780583024024963,toward_goal,False,False,False,14,13,1
48,2,-0.9988812804222107,wall,True,False,False,14,14,0
48,3,-0.15515388548374176,toward_goal,False,False,False,14,13,1
49,0,-0.9972958564758301,repeat,False,True,False,7,8,-1
49,1,-0.4214344620704651,toward_goal,False,False,False,7,6,1
49,2,-0.997103214263916,away_goal,False,False,False,7,8,-1
49,3,-0.7777255177497864,toward_goal,False,False,False,7,6,1
50,0,-0.9950914978981018,away_goal,False,False,False,1,2,-1
50,1,-0.5700573325157166,goal,False,False,True,1,0,1
50,2,-0.9985242486000061,repeat,False,True,False,1,2,-1
50,3,-0.8843854665756226,wall,True,False,False,1,1,0
51,0,-0.9884973168373108,wall,True,False,False,14,14,0
51,1,-0.15780583024024963,toward_goal,False,False,False,14,13,1
51,2,-0.9988812804222107,wall,True,False,False,14,14,0
51,3,-0.15515388548374176,toward_goal,False,False,False,14,13,1
52,0,-0.9987071752548218,repeat,False,True,False,9,10,-1
52,1,-0.5979016423225403,toward_goal,False,False,False,9,8,1
52,2,-0.9982786774635315,away_goal,False,False,False,9,10,-1
52,3,-0.27052029967308044,toward_goal,False,False,False,9,8,1
53,0,-0.998009204864502,away_goal,False,False,False,1,2,-1
53,1,-0.8873605728149414,goal,False,False,True,1,0,1
53,2,-0.9991772174835205,repeat,False,True,False,1,2,-1
53,3,-0.889121413230896,wall,True,False,False,1,1,0
54,0,-0.9884973168373108,wall,True,False,False,14,14,0
54,1,-0.15780583024024963,toward_goal,False,False,False,14,13,1
54,2,-0.9988812804222107,wall,True,False,False,14,14,0
54,3,-0.15515388548374176,toward_goal,False,False,False,14,13,1
55,0,-0.9959649443626404,repeat,False,True,False,13,14,-1
55,1,-0.7433273792266846,repeat,False,True,False,13,12,1
55,2,-0.9986428618431091,wall,True,False,False,13,13,0
55,3,-0.6226116418838501,repeat,False,True,False,13,12,1
56,0,-0.9938172698020935,repeat,False,True,False,12,13,-1
56,1,-0.46348851919174194,repeat,False,True,False,12,11,1
56,2,-0.9977887272834778,repeat,False,True,False,12,13,-1
56,3,-0.557723879814148,repeat,False,True,False,12,11,1
57,0,-0.9884973168373108,wall,True,False,False,14,14,0
57,1,-0.15780583024024963,toward_goal,False,False,False,14,13,1
57,2,-0.9988812804222107,wall,True,False,False,14,14,0
57,3,-0.15515388548374176,toward_goal,False,False,False,14,13,1
58,0,-0.9905532598495483,wall,True,False,False,14,14,0
58,1,-0.49795281887054443,toward_goal,False,False,False,14,13,1
58,2,-0.9975908398628235,wall,True,False,False,14,14,0
58,3,0.02557281404733658,repeat,False,True,False,14,13,1
59,0,-0.9946396946907043,wall,True,False,False,13,13,0
59,1,-0.8580892086029053,toward_goal,False,False,False,13,12,1
59,2,-0.9980728030204773,repeat,False,True,False,13,14,-1
59,3,-0.7626430988311768,toward_goal,False,False,False,13,12,1
