idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,score_bfsnorm,badness,repeat_count,quality_key
0,bfs,success,14,14,0,0,0,13.40021812915802,0.9571584377970014,0.9571584377970014,0.0,0,"[2, 0, 0, 0, 0]"
1,controlled_success,success,14,14,0,0,0,13.06176245212555,0.932983032294682,0.932983032294682,0.0,0,"[2, 0, 0, 0, 0]"
2,controlled_success,success,20,14,6,0,0,11.579304158687592,0.5789652079343796,0.8270931541919708,0.3530773384501964,6,"[2, 0, -6, 0, -6]"
3,random_avoid_goal,timeout,64,14,64,13,21,-52.909608229994774,-0.8267126285936683,-3.7792577307139124,4.167192490954895,63,"[1, -1, -13, -21, -63]"
4,safe_loop,timeout,64,14,64,14,0,-49.93590119294822,-0.780248456139816,-3.566850085210587,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
5,prefix_sticky_wall,timeout,64,14,64,8,58,-52.307796597480774,-0.8173093218356371,-3.736271185534341,4.036627119241192,58,"[1, -1, -8, -58, -58]"
6,bfs,success,14,14,0,0,0,13.26169103384018,0.9472636452742985,0.9472636452742985,0.0,0,"[2, 0, 0, 0, 0]"
7,controlled_success,success,18,14,4,0,0,12.743379652500153,0.7079655362500085,0.910241403750011,0.21158964629263732,2,"[2, 0, -4, 0, -2]"
8,controlled_success,success,48,14,34,0,0,-15.14341739192605,-0.3154878623317927,-1.0816726708518607,1.0606611156165442,23,"[2, 0, -34, 0, -23]"
9,random_avoid_goal,timeout,64,14,64,14,24,-56.46536463499069,-0.8822713224217296,-4.033240331070764,4.26924432832522,63,"[1, -1, -14, -24, -63]"
10,safe_loop,timeout,64,14,64,14,0,-48.24457295238972,-0.7538214523810893,-3.4460409251706943,2.4981429386478133,63,"[1, 0, -14, 0, -63]"
11,prefix_sticky_wall,timeout,64,14,64,10,54,-50.69348764419556,-0.7920857444405556,-3.6209634031568254,4.160618864553448,57,"[1, -1, -10, -54, -57]"
12,bfs,success,18,18,0,0,0,12.913959085941315,0.7174421714411842,0.7174421714411842,0.0,0,"[2, 0, 0, 0, 0]"
13,controlled_success,success,18,18,0,0,0,12.916959941387177,0.7176088856326209,0.7176088856326209,0.0,0,"[2, 0, 0, 0, 0]"
14,controlled_success,success,62,18,44,0,0,-14.572143629193306,-0.23503457466440816,-0.8095635349551836,1.412476379135061,44,"[2, 0, -44, 0, -44]"
15,random_avoid_goal,timeout,64,18,64,17,27,-59.952783554792404,-0.9367622430436313,-3.3307101974884668,4.240837352424527,63,"[1, -1, -17, -27, -63]"
16,safe_loop,timeout,64,18,64,18,0,-56.77055820077658,-0.887039971887134,-3.1539199000431433,2.4981429386478133,63,"[1, 0, -18, 0, -63]"
